order_id,customer_id,order_date,order_status,total_amount
1,4465,2023-09-24,Completed,180.04
2,8557,2023-07-04,Cancelled,80.2
3,1211,2023-10-16,Cancelled,551.37
4,8110,2023-08-02,Pending,180.84
5,779,2023-04-22,Pending,796.24
6,44,2023-03-26,Pending,501.8
7,5231,2023-06-12,Completed,88.11
8,2516,2023-07-17,Pending,899.25
9,7759,2023-01-18,Cancelled,277.51
10,6158,2023-10-17,Pending,283.92
11,332,2023-05-13,Cancelled,344.53
12,6946,2023-04-17,Completed,125.9
13,825,2023-03-07,Cancelled,597.34
14,8514,2023-10-22,Cancelled,999.93
15,5700,2023-07-20,Pending,512.09
16,6015,2023-12-24,Cancelled,432.9
17,5039,2023-09-24,Completed,559.33
18,5683,2023-01-17,Pending,99.69
19,51,2023-05-03,Pending,357.94
20,4440,2023-12-04,Completed,457.74
21,5364,2023-03-21,Cancelled,425.61
22,7619,2023-12-08,Completed,839.03
23,8960,2023-08-26,Pending,185.41
24,4672,2023-06-23,Cancelled,435.19
25,5144,2023-03-21,Cancelled,45.79
26,1457,2023-07-21,Pending,599.05
27,199,2023-04-28,Completed,213.71
28,2503,2023-04-19,Pending,122.97
29,5328,2023-02-19,Completed,32.2
30,619,2023-04-13,Completed,486.4
31,578,2023-02-27,Cancelled,989.56
32,7707,2023-07-09,Pending,108.89
33,9192,2023-01-05,Cancelled,875.53
34,9888,2023-12-31,Completed,79.39
35,4245,2023-06-19,Completed,566.85
36,6367,2023-02-11,Cancelled,707.0
37,8472,2023-08-12,Completed,679.87
38,802,2023-07-21,Completed,214.14
39,4754,2023-04-02,Cancelled,545.19
40,2322,2023-11-06,Cancelled,980.3
41,1021,2023-05-10,Completed,230.48
42,5711,2023-07-25,Cancelled,842.41
43,1052,2023-02-21,Pending,947.35
44,2927,2023-12-28,Completed,752.71
45,2797,2023-08-13,Completed,974.19
46,7548,2023-06-17,Completed,150.83
47,9796,2023-08-21,Cancelled,676.73
48,4341,2023-01-18,Pending,673.06
49,2698,2023-07-28,Completed,743.3
50,5185,2023-03-19,Completed,182.2
51,714,2023-04-01,Cancelled,368.87
52,3461,2023-07-10,Pending,64.88
53,9363,2023-08-29,Cancelled,67.99
54,4276,2023-12-06,Cancelled,289.14
55,7609,2023-03-08,Pending,736.22
56,5201,2023-10-21,Pending,640.3
57,1967,2023-05-23,Cancelled,721.95
58,7721,2023-07-12,Completed,670.13
59,5800,2023-05-05,Pending,981.98
60,1436,2023-12-30,Completed,545.46
61,6040,2023-11-21,Cancelled,652.44
62,9193,2023-04-20,Completed,994.16
63,2962,2023-08-03,Completed,395.1
64,2839,2023-05-13,Pending,227.45
65,605,2023-05-29,Cancelled,878.81
66,8264,2023-04-10,Pending,281.33
67,7905,2023-11-22,Completed,977.15
